Stars,Company,Words_Headline,Words_Comment
4,Octopus Energy Germany,1.0,1.0
5,Octopus Energy Germany,6.0,10.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,9.0
4,Octopus Energy Germany,3.0,15.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,54.0
3,Octopus Energy Germany,7.0,20.0
5,Octopus Energy Germany,6.0,13.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,1.0,7.0
5,Octopus Energy Germany,1.0,4.0
4,Octopus Energy Germany,6.0,17.0
4,Octopus Energy Germany,5.0,15.0
4,Octopus Energy Germany,3.0,0.0
4,Octopus Energy Germany,6.0,9.0
4,Octopus Energy Germany,1.0,23.0
5,Octopus Energy Germany,4.0,9.0
4,Octopus Energy Germany,6.0,25.0
5,Octopus Energy Germany,4.0,44.0
5,Octopus Energy Germany,3.0,0.0
4,Octopus Energy Germany,5.0,33.0
5,Octopus Energy Germany,4.0,24.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,6.0,15.0
5,Octopus Energy Germany,1.0,2.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,25.0
5,Octopus Energy Germany,2.0,43.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,19.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,13.0
5,Octopus Energy Germany,5.0,6.0
4,Octopus Energy Germany,7.0,22.0
5,Octopus Energy Germany,1.0,7.0
5,Octopus Energy Germany,5.0,17.0
5,Octopus Energy Germany,6.0,28.0
5,Octopus Energy Germany,3.0,12.0
5,Octopus Energy Germany,2.0,5.0
4,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,6.0,18.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,5.0,11.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,6.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,8.0,18.0
5,Octopus Energy Germany,5.0,15.0
5,Octopus Energy Germany,4.0,11.0
5,Octopus Energy Germany,2.0,8.0
4,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,2.0,26.0
5,Octopus Energy Germany,8.0,24.0
4,Octopus Energy Germany,3.0,0.0
4,Octopus Energy Germany,5.0,22.0
4,Octopus Energy Germany,2.0,21.0
5,Octopus Energy Germany,4.0,0.0
2,Octopus Energy Germany,2.0,32.0
4,Octopus Energy Germany,4.0,15.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,4.0,0.0
4,Octopus Energy Germany,2.0,23.0
5,Octopus Energy Germany,2.0,17.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,1.0,12.0
4,Octopus Energy Germany,5.0,12.0
5,Octopus Energy Germany,5.0,0.0
3,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,4.0,10.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,13.0
5,Octopus Energy Germany,4.0,12.0
4,Octopus Energy Germany,3.0,4.0
3,Octopus Energy Germany,1.0,7.0
4,Octopus Energy Germany,3.0,0.0
4,Octopus Energy Germany,5.0,5.0
3,Octopus Energy Germany,5.0,35.0
4,Octopus Energy Germany,2.0,7.0
4,Octopus Energy Germany,7.0,23.0
4,Octopus Energy Germany,4.0,6.0
3,Octopus Energy Germany,5.0,102.0
1,Octopus Energy Germany,2.0,17.0
4,Octopus Energy Germany,2.0,9.0
4,Octopus Energy Germany,1.0,4.0
4,Octopus Energy Germany,2.0,4.0
4,Octopus Energy Germany,3.0,25.0
5,Octopus Energy Germany,6.0,15.0
3,Octopus Energy Germany,7.0,12.0
4,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,6.0,39.0
1,Octopus Energy Germany,7.0,54.0
4,Octopus Energy Germany,4.0,10.0
4,Octopus Energy Germany,10.0,96.0
4,Octopus Energy Germany,5.0,0.0
1,Octopus Energy Germany,2.0,47.0
4,Octopus Energy Germany,7.0,22.0
4,Octopus Energy Germany,2.0,3.0
4,Octopus Energy Germany,5.0,8.0
4,Octopus Energy Germany,2.0,8.0
4,Octopus Energy Germany,3.0,0.0
3,Octopus Energy Germany,6.0,16.0
1,Octopus Energy Germany,7.0,35.0
4,Octopus Energy Germany,6.0,18.0
3,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,2.0,4.0
1,Octopus Energy Germany,6.0,62.0
4,Octopus Energy Germany,4.0,16.0
4,Octopus Energy Germany,5.0,14.0
1,Octopus Energy Germany,4.0,18.0
4,Octopus Energy Germany,4.0,20.0
2,Octopus Energy Germany,3.0,24.0
2,Octopus Energy Germany,5.0,23.0
4,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,6.0,0.0
4,Octopus Energy Germany,2.0,25.0
2,Octopus Energy Germany,2.0,0.0
4,Octopus Energy Germany,1.0,3.0
4,Octopus Energy Germany,1.0,9.0
4,Octopus Energy Germany,3.0,0.0
1,Octopus Energy Germany,2.0,25.0
4,Octopus Energy Germany,5.0,9.0
4,Octopus Energy Germany,4.0,40.0
4,Octopus Energy Germany,1.0,5.0
4,Octopus Energy Germany,4.0,13.0
4,Octopus Energy Germany,3.0,9.0
4,Octopus Energy Germany,7.0,21.0
4,Octopus Energy Germany,2.0,27.0
4,Octopus Energy Germany,6.0,11.0
4,Octopus Energy Germany,5.0,14.0
1,Octopus Energy Germany,5.0,0.0
4,Octopus Energy Germany,1.0,8.0
4,Octopus Energy Germany,4.0,16.0
4,Octopus Energy Germany,4.0,16.0
4,Octopus Energy Germany,2.0,3.0
1,Octopus Energy Germany,3.0,35.0
4,Octopus Energy Germany,4.0,14.0
4,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,4.0,20.0
5,Octopus Energy Germany,7.0,22.0
5,Octopus Energy Germany,6.0,21.0
5,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,3.0,14.0
5,Octopus Energy Germany,3.0,10.0
5,Octopus Energy Germany,3.0,33.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,4.0,12.0
5,Octopus Energy Germany,2.0,17.0
5,Octopus Energy Germany,1.0,1.0
5,Octopus Energy Germany,2.0,15.0
5,Octopus Energy Germany,4.0,7.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,1.0,2.0
5,Octopus Energy Germany,3.0,11.0
4,Octopus Energy Germany,1.0,7.0
4,Octopus Energy Germany,9.0,102.0
1,Octopus Energy Germany,4.0,102.0
5,Octopus Energy Germany,7.0,18.0
5,Octopus Energy Germany,2.0,31.0
5,Octopus Energy Germany,6.0,9.0
5,Octopus Energy Germany,3.0,30.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,1.0,3.0
5,Octopus Energy Germany,3.0,10.0
5,Octopus Energy Germany,4.0,7.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,4.0,0.0
4,Octopus Energy Germany,5.0,36.0
5,Octopus Energy Germany,2.0,10.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,3.0,3.0
4,Octopus Energy Germany,4.0,22.0
5,Octopus Energy Germany,3.0,13.0
4,Octopus Energy Germany,7.0,10.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,7.0
4,Octopus Energy Germany,3.0,8.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,6.0,37.0
5,Octopus Energy Germany,2.0,15.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,1.0,4.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,7.0,9.0
4,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,7.0,33.0
5,Octopus Energy Germany,4.0,33.0
4,Octopus Energy Germany,4.0,11.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,3.0,4.0
5,Octopus Energy Germany,5.0,5.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,3.0,12.0
4,Octopus Energy Germany,4.0,0.0
4,Octopus Energy Germany,2.0,28.0
5,Octopus Energy Germany,2.0,44.0
5,Octopus Energy Germany,2.0,28.0
5,Octopus Energy Germany,4.0,0.0
4,Octopus Energy Germany,5.0,17.0
5,Octopus Energy Germany,2.0,3.0
5,Octopus Energy Germany,4.0,16.0
5,Octopus Energy Germany,5.0,7.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,5.0,59.0
5,Octopus Energy Germany,7.0,52.0
5,Octopus Energy Germany,4.0,17.0
5,Octopus Energy Germany,4.0,10.0
5,Octopus Energy Germany,4.0,6.0
5,Octopus Energy Germany,1.0,17.0
5,Octopus Energy Germany,4.0,8.0
5,Octopus Energy Germany,3.0,7.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,7.0,11.0
5,Octopus Energy Germany,3.0,23.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,3.0,20.0
5,Octopus Energy Germany,6.0,0.0
3,Octopus Energy Germany,6.0,0.0
5,Octopus Energy Germany,1.0,6.0
5,Octopus Energy Germany,5.0,19.0
5,Octopus Energy Germany,6.0,6.0
4,Octopus Energy Germany,3.0,14.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,8.0,10.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,6.0,11.0
4,Octopus Energy Germany,4.0,0.0
4,Octopus Energy Germany,8.0,23.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,13.0
5,Octopus Energy Germany,7.0,28.0
5,Octopus Energy Germany,1.0,26.0
4,Octopus Energy Germany,4.0,36.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,4.0,21.0
4,Octopus Energy Germany,3.0,47.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,2.0,16.0
5,Octopus Energy Germany,1.0,8.0
5,Octopus Energy Germany,2.0,16.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,2.0
5,Octopus Energy Germany,4.0,7.0
5,Octopus Energy Germany,4.0,41.0
5,Octopus Energy Germany,2.0,12.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,1.0,16.0
5,Octopus Energy Germany,4.0,14.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,6.0,10.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,11.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,1.0,8.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,4.0,40.0
4,Octopus Energy Germany,5.0,3.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,8.0,0.0
5,Octopus Energy Germany,2.0,5.0
5,Octopus Energy Germany,4.0,9.0
5,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,4.0,7.0
5,Octopus Energy Germany,6.0,28.0
5,Octopus Energy Germany,4.0,35.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,11.0
5,Octopus Energy Germany,6.0,18.0
4,Octopus Energy Germany,7.0,19.0
5,Octopus Energy Germany,3.0,14.0
5,Octopus Energy Germany,2.0,7.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,2.0,38.0
5,Octopus Energy Germany,2.0,8.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,8.0,13.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,5.0,14.0
5,Octopus Energy Germany,2.0,4.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,2.0,0.0
5,Octopus Energy Germany,7.0,9.0
5,Octopus Energy Germany,5.0,16.0
5,Octopus Energy Germany,7.0,8.0
5,Octopus Energy Germany,3.0,0.0
5,Octopus Energy Germany,3.0,0.0
4,Octopus Energy Germany,4.0,5.0
5,Octopus Energy Germany,3.0,5.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,9.0,31.0
5,Octopus Energy Germany,6.0,15.0
4,Octopus Energy Germany,1.0,3.0
5,Octopus Energy Germany,2.0,16.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,5.0,4.0
5,Octopus Energy Germany,5.0,4.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,5.0,0.0
3,Octopus Energy Germany,2.0,102.0
5,Octopus Energy Germany,5.0,0.0
5,Octopus Energy Germany,5.0,50.0
5,Octopus Energy Germany,5.0,17.0
5,Octopus Energy Germany,5.0,0.0
4,Octopus Energy Germany,2.0,8.0
5,Octopus Energy Germany,5.0,0.0
4,Octopus Energy Germany,5.0,6.0
5,Octopus Energy Germany,4.0,0.0
5,Octopus Energy Germany,2.0,9.0
5,Octopus Energy Germany,2.0,6.0
5,Octopus Energy Germany,6.0,10.0
5,Octopus Energy Germany,4.0,11.0
4,Octopus Energy Germany,7.0,9.0
